epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,4.28006,0.68561,0.97751,1,0.07542,0.000405093,0.000405093,0.000405093
2,6.59749,0.16267,0.80982,1,0.54605,0.000801421,0.000801421,0.000801421
3,8.75348,0.24016,0.89571,1,0.6206,0.00117712,0.00117712,0.00117712
4,10.87,0.21063,0.7362,1,0.79441,0.00115719,0.00115719,0.00115719
5,12.9084,0.14473,0.88139,1,0.40721,0.00112625,0.00112625,0.00112625
6,15.0148,0.09659,0.92434,1,0.19893,0.00109531,0.00109531,0.00109531
7,17.1019,0.11686,0.85276,1,0.45002,0.00106437,0.00106437,0.00106437
8,19.1778,0.13171,0.97342,1,0.07418,0.00103344,0.00103344,0.00103344
9,21.2425,0.09955,0.99182,1,0.03726,0.0010025,0.0010025,0.0010025
10,23.3854,0.06277,0.98364,1,0.03529,0.000971562,0.000971562,0.000971562
11,25.441,0.05298,0.98364,1,0.04781,0.000940625,0.000940625,0.000940625
12,27.4747,0.06914,0.98773,1,0.0383,0.000909688,0.000909688,0.000909688
13,29.5441,0.07747,0.9816,1,0.05909,0.00087875,0.00087875,0.00087875
14,31.5697,0.05074,0.97342,1,0.06906,0.000847813,0.000847813,0.000847813
15,33.6454,0.03698,0.99182,1,0.0238,0.000816875,0.000816875,0.000816875
16,35.7502,0.08306,0.99387,1,0.03107,0.000785938,0.000785938,0.000785938
17,37.8597,0.05967,0.98773,1,0.03427,0.000755,0.000755,0.000755
18,39.9144,0.03639,0.98978,1,0.02745,0.000724062,0.000724062,0.000724062
19,41.9671,0.03504,0.98978,1,0.04309,0.000693125,0.000693125,0.000693125
20,44.0389,0.03928,0.98978,1,0.01868,0.000662188,0.000662188,0.000662188
21,46.1171,0.03394,0.9591,1,0.15873,0.00063125,0.00063125,0.00063125
22,48.1668,0.04468,0.97751,1,0.06014,0.000600313,0.000600313,0.000600313
23,50.2217,0.04182,0.99591,1,0.00927,0.000569375,0.000569375,0.000569375
24,52.363,0.03935,0.98773,1,0.03466,0.000538438,0.000538438,0.000538438
25,54.4667,0.02239,0.99182,1,0.01483,0.0005075,0.0005075,0.0005075
26,56.5465,0.03717,0.98978,1,0.02572,0.000476562,0.000476562,0.000476562
27,58.6214,0.04729,0.99796,1,0.01309,0.000445625,0.000445625,0.000445625
28,60.7282,0.03024,0.99591,1,0.01135,0.000414688,0.000414688,0.000414688
29,62.8621,0.02491,0.99796,1,0.00599,0.00038375,0.00038375,0.00038375
30,65.0074,0.01671,0.99591,1,0.01772,0.000352812,0.000352812,0.000352812
31,87.0155,0.02427,0.99796,1,0.01041,0.000321875,0.000321875,0.000321875
32,89.1316,0.02556,0.99796,1,0.00541,0.000290937,0.000290937,0.000290937
33,91.2363,0.01669,1,1,0.00149,0.00026,0.00026,0.00026
34,93.3415,0.01134,1,1,0.00119,0.000229063,0.000229063,0.000229063
35,95.4213,0.01545,1,1,0.00148,0.000198125,0.000198125,0.000198125
36,97.4808,0.0076,1,1,0.00132,0.000167188,0.000167188,0.000167188
37,99.581,0.0114,1,1,0.00091,0.00013625,0.00013625,0.00013625
38,101.724,0.01083,1,1,0.00074,0.000105312,0.000105312,0.000105312
39,103.906,0.01306,1,1,0.00084,7.4375e-05,7.4375e-05,7.4375e-05
40,105.975,0.00831,1,1,0.00047,4.34375e-05,4.34375e-05,4.34375e-05
