epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,4.88672,2.1954,0.39095,1,1.54963,0.00026672,0.00026672,0.00026672
2,7.89402,1.09384,0.74074,1,0.62514,0.000536495,0.000536495,0.000536495
3,10.8192,0.53943,0.84362,1,0.60176,0.000792242,0.000792242,0.000792242
4,13.9719,0.40492,0.88889,1,0.97334,0.00103396,0.00103396,0.00103396
5,17.1088,0.38207,0.88477,1,0.72071,0.00126165,0.00126165,0.00126165
6,20.2819,0.41061,0.8107,1,0.55773,0.00146071,0.00146071,0.00146071
7,23.9406,0.37327,0.8107,1,0.41326,0.00141945,0.00141945,0.00141945
8,27.6601,0.33193,0.83951,1,0.7912,0.00137819,0.00137819,0.00137819
9,31.5435,0.35546,0.91358,1,0.26067,0.00133693,0.00133693,0.00133693
10,35.0303,0.33883,0.85185,1,0.38399,0.00129568,0.00129568,0.00129568
11,38.6183,0.32246,0.893,1,0.27563,0.00125442,0.00125442,0.00125442
12,42.306,0.31548,0.83951,1,0.52779,0.00121316,0.00121316,0.00121316
13,46.1921,0.32393,0.85597,1,0.3921,0.0011719,0.0011719,0.0011719
14,50.0921,0.28272,0.85597,1,0.3488,0.00113064,0.00113064,0.00113064
15,54.1808,0.29459,0.87243,1,0.31451,0.00108938,0.00108938,0.00108938
16,57.9384,0.30368,0.88889,1,0.31547,0.00104813,0.00104813,0.00104813
17,61.6791,0.27981,0.84362,1,0.43624,0.00100687,0.00100687,0.00100687
18,65.2583,0.30126,0.893,1,0.38761,0.00096561,0.00096561,0.00096561
19,68.8498,0.28807,0.86831,1,0.3253,0.000924352,0.000924352,0.000924352
20,72.5561,0.28085,0.87243,1,0.32551,0.000883093,0.000883093,0.000883093
21,76.549,0.28259,0.88477,1,0.38934,0.000841835,0.000841835,0.000841835
22,80.1943,0.25418,0.89712,1,0.31673,0.000800577,0.000800577,0.000800577
23,85.1681,0.24507,0.88889,1,0.29688,0.000759318,0.000759318,0.000759318
24,89.0815,0.23731,0.90123,1,0.29244,0.00071806,0.00071806,0.00071806
25,93.0134,0.22523,0.88477,1,0.32003,0.000676802,0.000676802,0.000676802
26,96.7101,0.25752,0.85185,1,0.39662,0.000635544,0.000635544,0.000635544
27,100.223,0.21637,0.90123,1,0.34908,0.000594286,0.000594286,0.000594286
28,104.528,0.2172,0.88889,1,0.32942,0.000553027,0.000553027,0.000553027
29,108.408,0.23743,0.88889,1,0.30414,0.000511769,0.000511769,0.000511769
30,112.101,0.2324,0.893,1,0.29531,0.000470511,0.000470511,0.000470511
31,139.074,0.2231,0.88889,1,0.30921,0.000429253,0.000429253,0.000429253
32,143.295,0.21906,0.91358,1,0.30504,0.000387994,0.000387994,0.000387994
33,146.959,0.17691,0.90123,1,0.29607,0.000346736,0.000346736,0.000346736
34,151.174,0.19701,0.89712,1,0.29699,0.000305478,0.000305478,0.000305478
35,156.653,0.19681,0.90123,1,0.29943,0.00026422,0.00026422,0.00026422
36,160.508,0.16392,0.88889,1,0.3374,0.000222961,0.000222961,0.000222961
37,164.362,0.18294,0.893,1,0.30941,0.000181703,0.000181703,0.000181703
38,167.723,0.20512,0.89712,1,0.29962,0.000140445,0.000140445,0.000140445
39,171.199,0.17781,0.88889,1,0.29725,9.91865e-05,9.91865e-05,9.91865e-05
40,175.357,0.18248,0.88889,1,0.3086,5.79283e-05,5.79283e-05,5.79283e-05
