epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,12.3268,0.39998,0.80301,1,0.42874,0.000551291,0.000551291,0.000551291
2,22.3732,0.3808,0.81808,1,0.44283,0.00107956,0.00107956,0.00107956
3,31.2835,0.38397,0.78853,1,0.42079,0.00158032,0.00158032,0.00158032
4,38.6249,0.37444,0.82039,1,0.39489,0.00154323,0.00154323,0.00154323
5,46.0656,0.36681,0.82793,1,0.36232,0.00150197,0.00150197,0.00150197
6,53.6259,0.4408,0.81808,1,0.39372,0.00146071,0.00146071,0.00146071
7,61.0608,0.41674,0.76825,1,0.39799,0.00141945,0.00141945,0.00141945
8,68.3847,0.39556,0.82097,1,0.35575,0.00137819,0.00137819,0.00137819
9,75.8642,0.40351,0.79143,1,0.37834,0.00133693,0.00133693,0.00133693
10,83.354,0.38323,0.82851,1,0.34162,0.00129568,0.00129568,0.00129568
11,90.823,0.37847,0.78042,1,0.37512,0.00125442,0.00125442,0.00125442
12,98.4256,0.37495,0.81924,1,0.34546,0.00121316,0.00121316,0.00121316
13,105.824,0.45543,0.82271,1,0.35557,0.0011719,0.0011719,0.0011719
14,113.301,0.39064,0.83662,1,0.32869,0.00113064,0.00113064,0.00113064
15,120.735,0.37118,0.79316,1,0.37145,0.00108938,0.00108938,0.00108938
16,128.313,0.37467,0.82213,1,0.33828,0.00104813,0.00104813,0.00104813
17,136.048,0.36443,0.83835,1,0.33682,0.00100687,0.00100687,0.00100687
18,143.762,0.35808,0.84473,1,0.31657,0.00096561,0.00096561,0.00096561
19,151.335,0.35339,0.84357,1,0.31756,0.000924352,0.000924352,0.000924352
20,159.159,0.35028,0.84936,1,0.31733,0.000883093,0.000883093,0.000883093
21,166.676,0.36232,0.82097,1,0.56781,0.000841835,0.000841835,0.000841835
22,174.359,0.35858,0.84183,1,0.31884,0.000800577,0.000800577,0.000800577
23,182.64,0.34785,0.85574,1,0.30164,0.000759318,0.000759318,0.000759318
24,191.006,0.34708,0.85689,1,0.31272,0.00071806,0.00071806,0.00071806
25,198.977,0.35059,0.84878,1,0.30373,0.000676802,0.000676802,0.000676802
26,207.131,0.34081,0.84531,1,0.3095,0.000635544,0.000635544,0.000635544
27,215.169,0.33159,0.86037,1,0.3045,0.000594286,0.000594286,0.000594286
28,222.952,0.3339,0.87138,1,0.29367,0.000553027,0.000553027,0.000553027
29,230.801,0.32842,0.86906,1,0.2857,0.000511769,0.000511769,0.000511769
30,238.482,0.3223,0.86153,1,0.28256,0.000470511,0.000470511,0.000470511
31,265.168,0.32682,0.85805,1,0.29194,0.000429253,0.000429253,0.000429253
32,272.54,0.32018,0.87196,1,0.29839,0.000387994,0.000387994,0.000387994
33,280.204,0.3209,0.86616,1,0.29323,0.000346736,0.000346736,0.000346736
34,287.796,0.31353,0.85921,1,0.28888,0.000305478,0.000305478,0.000305478
35,295.297,0.31401,0.85863,1,0.29603,0.00026422,0.00026422,0.00026422
36,302.929,0.30989,0.87833,1,0.2801,0.000222961,0.000222961,0.000222961
37,310.568,0.30648,0.87254,1,0.28591,0.000181703,0.000181703,0.000181703
38,318.126,0.2998,0.87775,1,0.27723,0.000140445,0.000140445,0.000140445
39,325.703,0.2967,0.87833,1,0.27936,9.91865e-05,9.91865e-05,9.91865e-05
40,333.219,0.29582,0.87543,1,0.27888,5.79283e-05,5.79283e-05,5.79283e-05
